"file","group","model","scorer","mean","median"
"jruby-1.1",3,"KNN","LogLoss",0.37,0.37
"jruby-1.1",1,"KNN","Gmean",0.43,0.43
"jruby-1.1",2,"KNN","ACC",0.41,0.41
"jruby-1.1",1,"KNN","BAL_ACC",0.43,0.43
"jruby-1.1",3,"KNN","AUC",0.37,0.37
"jruby-1.1",1,"KNN","F1",0.43,0.43
"jruby-1.1",1,"KNN","F1_W",0.43,0.43
"jruby-1.4.0",3,"DT","MCC",0.31,0.31
"jruby-1.4.0",5,"DT","LogLoss",0.23,0.23
"jruby-1.4.0",3,"DT","Gmean",0.31,0.31
"jruby-1.4.0",1,"DT","ACC",0.39,0.39
"jruby-1.4.0",3,"DT","BAL_ACC",0.31,0.31
"jruby-1.4.0",4,"DT","AUC",0.3,0.3
"jruby-1.4.0",2,"DT","F1",0.37,0.37
"jruby-1.4.0",1,"DT","F1_W",0.39,0.39
"jruby-1.4.0",5,"RF","MCC",0.36,0.36
"jruby-1.4.0",3,"RF","LogLoss",0.38,0.38
"jruby-1.4.0",7,"RF","Gmean",0.31,0.31
"jruby-1.4.0",2,"RF","ACC",0.39,0.39
"jruby-1.4.0",7,"RF","BAL_ACC",0.31,0.31
"jruby-1.4.0",1,"RF","AUC",0.4,0.4
"jruby-1.4.0",6,"RF","F1",0.35,0.35
"jruby-1.4.0",4,"RF","F1_W",0.37,0.37
"jruby-1.4.0",2,"KNN","MCC",0.4,0.4
"jruby-1.4.0",3,"KNN","LogLoss",0.38,0.38
"jruby-1.4.0",6,"KNN","Gmean",0.32,0.32
"jruby-1.4.0",1,"KNN","ACC",0.42,0.42
"jruby-1.4.0",4,"KNN","BAL_ACC",0.35,0.35
"jruby-1.4.0",3,"KNN","AUC",0.38,0.38
"jruby-1.4.0",5,"KNN","F1",0.34,0.34
"jruby-1.4.0",2,"KNN","F1_W",0.4,0.4
"jruby-1.5.0",4,"DT","MCC",0.28,0.28
"jruby-1.5.0",4,"DT","LogLoss",0.28,0.28
"jruby-1.5.0",4,"DT","Gmean",0.28,0.28
"jruby-1.5.0",1,"DT","ACC",0.34,0.34
"jruby-1.5.0",3,"DT","BAL_ACC",0.29,0.29
"jruby-1.5.0",2,"DT","AUC",0.3,0.3
"jruby-1.5.0",6,"DT","F1",0.19,0.19
"jruby-1.5.0",5,"DT","F1_W",0.23,0.23
"jruby-1.5.0",3,"RF","MCC",0.3,0.3
"jruby-1.5.0",3,"RF","LogLoss",0.3,0.3
"jruby-1.5.0",3,"RF","Gmean",0.3,0.3
"jruby-1.5.0",4,"RF","ACC",0,0
"jruby-1.5.0",1,"RF","BAL_ACC",0.32,0.32
"jruby-1.5.0",3,"RF","AUC",0.3,0.3
"jruby-1.5.0",2,"RF","F1",0.31,0.31
"jruby-1.5.0",4,"RF","F1_W",0,0
"jruby-1.5.0",3,"KNN","MCC",0.24,0.24
"jruby-1.5.0",2,"KNN","LogLoss",0.26,0.26
"jruby-1.5.0",5,"KNN","Gmean",0.2,0.2
"jruby-1.5.0",4,"KNN","ACC",0.21,0.21
"jruby-1.5.0",6,"KNN","BAL_ACC",0.18,0.18
"jruby-1.5.0",1,"KNN","AUC",0.32,0.32
"jruby-1.5.0",3,"KNN","F1",0.24,0.24
"jruby-1.5.0",7,"KNN","F1_W",0.08,0.08
"lucene-2.3.0",1,"DT","MCC",0.27,0.27
"lucene-2.3.0",2,"DT","LogLoss",0.21,0.21
"lucene-2.3.0",1,"DT","Gmean",0.27,0.27
"lucene-2.3.0",1,"DT","ACC",0.27,0.27
"lucene-2.3.0",2,"DT","BAL_ACC",0.21,0.21
"lucene-2.3.0",1,"DT","AUC",0.27,0.27
"lucene-2.3.0",2,"DT","F1",0.21,0.21
"lucene-2.3.0",1,"DT","F1_W",0.27,0.27
"lucene-2.3.0",4,"RF","MCC",0.29,0.29
"lucene-2.3.0",1,"RF","LogLoss",0.35,0.35
"lucene-2.3.0",3,"RF","Gmean",0.3,0.3
"lucene-2.3.0",5,"RF","ACC",0.27,0.27
"lucene-2.3.0",6,"RF","BAL_ACC",0.21,0.21
"lucene-2.3.0",3,"RF","AUC",0.3,0.3
"lucene-2.3.0",3,"RF","F1",0.3,0.3
"lucene-2.3.0",2,"RF","F1_W",0.31,0.31
"lucene-2.3.0",3,"KNN","MCC",0.29,0.29
"lucene-2.3.0",1,"KNN","LogLoss",0.32,0.32
"lucene-2.3.0",2,"KNN","Gmean",0.3,0.3
"lucene-2.3.0",3,"KNN","ACC",0.29,0.29
"lucene-2.3.0",4,"KNN","BAL_ACC",0.27,0.27
"lucene-2.3.0",3,"KNN","AUC",0.29,0.29
"lucene-2.3.0",4,"KNN","F1",0.27,0.27
"lucene-2.3.0",3,"KNN","F1_W",0.29,0.29
"lucene-2.9.0",3,"DT","MCC",0.3,0.3
"lucene-2.9.0",3,"DT","LogLoss",0.3,0.3
"lucene-2.9.0",2,"DT","Gmean",0.32,0.32
"lucene-2.9.0",5,"DT","ACC",0,0
"lucene-2.9.0",1,"DT","BAL_ACC",0.33,0.33
"lucene-2.9.0",3,"DT","AUC",0.3,0.3
"lucene-2.9.0",4,"DT","F1",0.26,0.26
"lucene-2.9.0",1,"DT","F1_W",0.33,0.33
"lucene-2.9.0",2,"RF","MCC",0.39,0.39
"lucene-2.9.0",1,"RF","LogLoss",0.4,0.4
"lucene-2.9.0",4,"RF","Gmean",0.33,0.33
"lucene-2.9.0",6,"RF","ACC",0,0
"lucene-2.9.0",5,"RF","BAL_ACC",0.32,0.32
"lucene-2.9.0",1,"RF","AUC",0.4,0.4
"lucene-2.9.0",3,"RF","F1",0.35,0.35
"lucene-2.9.0",1,"RF","F1_W",0.4,0.4
"lucene-2.9.0",5,"KNN","MCC",0.27,0.27
"lucene-2.9.0",4,"KNN","LogLoss",0.38,0.38
"lucene-2.9.0",1,"KNN","Gmean",0.56,0.56
"lucene-2.9.0",6,"KNN","ACC",0.22,0.22
"lucene-2.9.0",1,"KNN","BAL_ACC",0.56,0.56
"lucene-2.9.0",3,"KNN","AUC",0.47,0.47
"lucene-2.9.0",1,"KNN","F1",0.56,0.56
"lucene-2.9.0",2,"KNN","F1_W",0.51,0.51
"lucene-3.0.0",1,"DT","MCC",0.16,0.16
"lucene-3.0.0",1,"DT","LogLoss",0.16,0.16
"lucene-3.0.0",1,"DT","Gmean",0.16,0.16
"lucene-3.0.0",3,"DT","ACC",0.14,0.14
"lucene-3.0.0",3,"DT","BAL_ACC",0.14,0.14
"lucene-3.0.0",2,"DT","AUC",0.15,0.15
"lucene-3.0.0",2,"DT","F1",0.15,0.15
"lucene-3.0.0",4,"DT","F1_W",0.09,0.09
"lucene-3.0.0",5,"RF","MCC",0.15,0.15
"lucene-3.0.0",2,"RF","LogLoss",0.18,0.18
"lucene-3.0.0",5,"RF","Gmean",0.15,0.15
"lucene-3.0.0",6,"RF","ACC",0,0
"lucene-3.0.0",3,"RF","BAL_ACC",0.17,0.17
"lucene-3.0.0",1,"RF","AUC",0.19,0.19
"lucene-3.0.0",4,"RF","F1",0.16,0.16
"lucene-3.0.0",6,"RF","F1_W",0,0
"lucene-3.0.0",1,"KNN","MCC",0.07,0.07
"lucene-3.0.0",3,"KNN","LogLoss",0.04,0.04
"lucene-3.0.0",1,"KNN","Gmean",0.07,0.07
"lucene-3.0.0",2,"KNN","ACC",0.05,0.05
"lucene-3.0.0",1,"KNN","BAL_ACC",0.07,0.07
"lucene-3.0.0",3,"KNN","AUC",0.04,0.04
"lucene-3.0.0",1,"KNN","F1",0.07,0.07
"lucene-3.0.0",2,"KNN","F1_W",0.05,0.05
"wicket-1.3.0-beta2",1,"DT","MCC",0.21,0.21
"wicket-1.3.0-beta2",2,"DT","LogLoss",0.2,0.2
"wicket-1.3.0-beta2",2,"DT","Gmean",0.2,0.2
"wicket-1.3.0-beta2",3,"DT","ACC",0.17,0.17
"wicket-1.3.0-beta2",2,"DT","BAL_ACC",0.2,0.2
"wicket-1.3.0-beta2",1,"DT","AUC",0.21,0.21
"wicket-1.3.0-beta2",2,"DT","F1",0.2,0.2
"wicket-1.3.0-beta2",2,"DT","F1_W",0.2,0.2
"wicket-1.3.0-beta2",1,"RF","MCC",0.24,0.24
"wicket-1.3.0-beta2",2,"RF","LogLoss",0.23,0.23
"wicket-1.3.0-beta2",4,"RF","Gmean",0.2,0.2
"wicket-1.3.0-beta2",5,"RF","ACC",0,0
"wicket-1.3.0-beta2",4,"RF","BAL_ACC",0.2,0.2
"wicket-1.3.0-beta2",3,"RF","AUC",0.22,0.22
"wicket-1.3.0-beta2",1,"RF","F1",0.24,0.24
"wicket-1.3.0-beta2",5,"RF","F1_W",0,0
"wicket-1.3.0-beta2",4,"KNN","MCC",0.04,0.04
"wicket-1.3.0-beta2",1,"KNN","LogLoss",0.1,0.1
"wicket-1.3.0-beta2",2,"KNN","Gmean",0.07,0.07
"wicket-1.3.0-beta2",5,"KNN","ACC",0,0
"wicket-1.3.0-beta2",2,"KNN","BAL_ACC",0.07,0.07
"wicket-1.3.0-beta2",1,"KNN","AUC",0.1,0.1
"wicket-1.3.0-beta2",3,"KNN","F1",0.05,0.05
"wicket-1.3.0-beta2",4,"KNN","F1_W",0.04,0.04
"wicket-1.3.0-incubating-beta-1",2,"DT","MCC",0.3,0.3
